DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2021-06-24,2021-06-24,34699.25,34970.0,34579.3,34819.95,34825.0,34827.0,3081775,25,107274501205.0,365950.0,-511900.0,BANKNIFTY,FUTIDX,2021,,
2021-06-24,2021-06-24,34699.25,34970.0,34579.3,34819.95,34825.0,34827.0,3081775,25,107274501205.0,365950.0,-511900.0,BANKNIFTY,FUTIDX,2021,,
2021-06-23,2021-06-24,34949.7,34972.0,34555.1,34611.9,34610.0,34611.9,3224250,25,112064692910.0,877850.0,-201475.0,BANKNIFTY,FUTIDX,2021,,
2021-06-22,2021-06-24,35110.0,35286.75,34719.1,34775.8,34758.7,34775.8,3732125,25,130797012658.75,1079325.0,-270400.0,BANKNIFTY,FUTIDX,2021,,
2021-06-21,2021-06-24,34388.0,34949.0,33955.1,34911.1,34944.4,34911.1,3864800,25,133333030235.0,1349725.0,-81100.0,BANKNIFTY,FUTIDX,2021,,
2021-06-18,2021-06-24,34800.0,34837.85,33937.0,34596.75,34714.0,34596.75,4336950,25,149115025336.25,1430825.0,-54575.0,BANKNIFTY,FUTIDX,2021,,
2021-06-17,2021-06-24,34699.95,34970.05,34486.4,34682.2,34590.0,34682.2,3391200,25,117809630881.25,1485400.0,-14425.0,BANKNIFTY,FUTIDX,2021,,
2021-06-16,2021-06-24,35233.0,35463.9,35005.0,35101.35,35098.6,35101.35,2834475,25,99785164283.75,1499825.0,11350.0,BANKNIFTY,FUTIDX,2021,,
2021-06-15,2021-06-24,35035.0,35425.95,34960.6,35330.4,35296.05,35330.4,2558375,25,90287661153.75,1488475.0,-31500.0,BANKNIFTY,FUTIDX,2021,,
2021-06-14,2021-06-24,35024.0,35130.0,34455.0,35065.1,35049.85,35065.1,3355025,25,116904331018.75,1519975.0,-156850.0,BANKNIFTY,FUTIDX,2021,,
2021-06-11,2021-06-24,35420.0,35474.95,34977.7,35169.35,35164.0,35169.35,2600100,25,91543498785.0,1677425.0,39400.0,BANKNIFTY,FUTIDX,2021,,
2021-06-10,2021-06-24,34980.0,35320.0,34830.0,35266.35,35300.0,35266.35,3078775,25,108008138290.0,1638025.0,-105525.0,BANKNIFTY,FUTIDX,2021,,
2021-06-09,2021-06-24,35281.0,35547.6,34757.65,34929.35,34935.0,34929.35,4844075,25,170397258996.25,1743550.0,-29975.0,BANKNIFTY,FUTIDX,2021,,
2021-06-08,2021-06-24,35536.8,35569.8,35123.0,35265.3,35279.0,35265.3,3175550,25,112044078972.5,1773525.0,18650.0,BANKNIFTY,FUTIDX,2021,,
2021-06-07,2021-06-24,35540.05,35740.0,35494.0,35622.2,35598.05,35622.2,2321200,25,82705675503.75,1754875.0,-55425.0,BANKNIFTY,FUTIDX,2021,,
