symbol,prev_close,open,high,low,close,settlement,net_change,open_interest,volume,trades,underlying_price,notional_value,premium_traded,underlying,expiry,strike,option_type,spread_bps,return,moneyness,days_to_expiry,implied_volatility,date,bid_ask_spread,relative_spread_bps,effective_spread,realized_spread
OPTSTKSONACOMS28-AUG-2025PE540,88.6,86.65,86.65,86.65,86.65,86.65,1.95,8.0,4200.0,4.0,453.7,2631930.0,363930.0,SONACOMS28,AUG,2025540.0,PE,0.0,-0.022009029345372334,0.0002239896521421448,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKSONACOMS28-AUG-2025PE580,128.6,118.1,118.1,118.1,118.1,126.15,2.45,1.0,3150.0,3.0,453.7,2199015.0,372015.0,SONACOMS28,AUG,2025580.0,PE,0.0,-0.08164852255054433,0.0002239852289220865,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKSONACOMS28-AUG-2025CE360,91.35,95.95,95.95,95.95,95.95,95.95,4.6,5.0,1050.0,1.0,453.7,478747.5,100747.5,SONACOMS28,AUG,2025360.0,CE,0.0,0.050355774493705624,0.00022400955879448592,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE395,0.0,0.05,0.05,0.05,0.05,0.0,0.0,31.0,31125.0,15.0,478.5,12295931.25,1556.25,DELHIVERY28,AUG,2025395.0,PE,0.0,inf,0.00023625021292143013,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY30-SEP-2025CE380,99.95,91.25,91.25,91.25,91.25,101.45,1.5,1.0,2075.0,1.0,478.5,977843.75,189343.75,DELHIVERY30,SEP,2025380.0,CE,0.0,-0.08704352176088047,0.00023625196259467358,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY30-SEP-2025CE420,64.05,57.0,57.0,57.0,57.0,65.2,1.15,2.0,2075.0,1.0,478.5,989775.0,118275.0,DELHIVERY30,SEP,2025420.0,CE,0.0,-0.11007025761124117,0.00023624729685694818,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY30-SEP-2025PE410,3.25,1.0,1.0,1.0,1.0,2.9,0.35,9.0,2075.0,1.0,478.5,852825.0,2075.0,DELHIVERY30,SEP,2025410.0,PE,0.0,-0.6923076923076923,0.00023624846327410253,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE385,0.0,0.05,0.05,0.05,0.05,0.0,0.0,18.0,2075.0,1.0,478.5,798978.75,103.75,DELHIVERY28,AUG,2025385.0,PE,0.0,inf,0.00023625137936737954,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE390,0.0,0.05,0.05,0.05,0.05,0.0,0.0,62.0,12450.0,6.0,478.5,4856122.5,622.5,DELHIVERY28,AUG,2025390.0,PE,0.0,inf,0.00023625079614296505,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE360,0.0,0.05,0.05,0.05,0.05,0.0,0.0,8.0,2075.0,1.0,478.5,747103.75,103.75,DELHIVERY28,AUG,2025360.0,PE,0.0,inf,0.00023625429553264605,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY30-SEP-2025CE425,60.0,53.8,53.8,53.8,53.8,61.1,1.1,1.0,2075.0,1.0,478.5,993510.0,111635.0,DELHIVERY30,SEP,2025425.0,CE,0.0,-0.10333333333333337,0.00023624671365269018,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025CE330,147.05,148.0,148.0,148.0,148.0,148.65,1.6,2.0,2075.0,1.0,478.5,991850.0,307100.0,DELHIVERY28,AUG,2025330.0,CE,0.0,0.006460387623257318,0.00023625779502599577,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE380,0.0,0.05,0.05,0.05,0.05,0.0,0.0,46.0,24900.0,12.0,478.5,9463245.0,1245.0,DELHIVERY28,AUG,2025380.0,PE,0.0,inf,0.00023625196259467358,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY30-SEP-2025PE500,29.75,28.7,28.75,28.6,28.7,28.7,1.05,8.0,6225.0,3.0,478.5,3291053.75,178553.75,DELHIVERY30,SEP,2025500.0,PE,52.264808362368846,-0.03529411764705885,0.0002362379659343372,,,2025-08-27,0.14999999999999858,52.264808362368846,0.07499999999999929,0.059999999999999436
OPTSTKDELHIVERY28-AUG-2025PE350,0.0,0.05,0.05,0.05,0.05,0.0,0.0,23.0,20750.0,10.0,478.5,7263537.5,1037.5,DELHIVERY28,AUG,2025350.0,PE,0.0,inf,0.00023625546201891032,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE375,0.0,0.1,0.1,0.1,0.1,0.0,0.0,16.0,6225.0,3.0,478.5,2334997.5,622.5,DELHIVERY28,AUG,2025375.0,PE,0.0,inf,0.00023625254582484726,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKDELHIVERY28-AUG-2025PE415,0.0,0.05,0.05,0.05,0.05,0.0,0.0,60.0,22825.0,11.0,478.5,9473516.25,1141.25,DELHIVERY28,AUG,2025415.0,PE,0.0,inf,0.00023624788006408563,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKEXIDEIND28-AUG-2025PE345,0.05,0.05,0.05,0.05,0.05,0.0,0.05,63.0,3600.0,2.0,396.8,1242180.0,180.0,EXIDEIND28,AUG,2025345.0,PE,0.0,0.0,0.0001959172387914158,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKEXIDEIND30-SEP-2025PE340,1.3,0.95,0.95,0.95,0.95,0.95,0.35,5.0,3600.0,2.0,396.8,1227420.0,3420.0,EXIDEIND30,SEP,2025340.0,PE,0.0,-0.2692307692307693,0.00019591772245647644,,,2025-08-27,0.0,0.0,0.0,0.0
