DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE
2025-05-02,2025-05-29,55250.2,55929.0,55073.6,55209.8,55191.8,55209.8,1956060,30,108496818396.0,2252070.0,-42870.0,BANKNIFTY,FUTIDX
2025-04-30,2025-05-29,55440.0,55630.0,55131.0,55241.8,55180.0,55241.8,1275030,30,70562210424.0,2294940.0,-68760.0,BANKNIFTY,FUTIDX
2025-04-29,2025-05-29,55744.6,56194.8,55437.0,55509.6,55440.0,55509.6,1635630,30,91199330454.0,2363700.0,-97260.0,BANKNIFTY,FUTIDX
2025-06-26,2025-06-26,56655.2,57251.0,56535.0,57217.2,57215.2,57206.7,1297500,30,73832026794.0,727290.0,-119820.0,BANKNIFTY,FUTIDX
2025-06-25,2025-06-26,56600.0,56687.8,56440.0,56619.2,56611.6,56619.2,844770,30,47818908684.0,847110.0,-168720.0,BANKNIFTY,FUTIDX
2025-06-24,2025-06-26,56506.2,56879.8,56357.0,56500.8,56500.0,56500.8,1593540,30,90216765930.0,1015830.0,-428700.0,BANKNIFTY,FUTIDX
2025-06-23,2025-06-26,55899.8,56299.6,55805.0,56097.8,56105.0,56097.8,1366980,30,76591831932.0,1444530.0,-306540.0,BANKNIFTY,FUTIDX
2025-06-20,2025-06-26,55680.0,56340.0,55651.2,56298.0,56292.8,56298.0,1305930,30,73291514418.0,1751070.0,-12960.0,BANKNIFTY,FUTIDX
2025-06-19,2025-06-26,55884.4,56025.0,55612.8,55655.0,55615.0,55655.0,805890,30,44955846510.0,1764030.0,-48360.0,BANKNIFTY,FUTIDX
2025-06-18,2025-06-26,55670.0,56050.6,55670.0,55899.0,55878.0,55899.0,854340,30,47743942302.0,1812390.0,-58830.0,BANKNIFTY,FUTIDX
2025-06-17,2025-06-26,56110.0,56599.6,55735.0,55780.8,55765.0,55780.8,704550,30,39384256992.0,1871220.0,-17760.0,BANKNIFTY,FUTIDX
2025-06-16,2025-06-26,55550.0,56165.0,55505.0,56112.4,56164.8,56112.4,1114650,30,62260023636.0,1888980.0,-66930.0,BANKNIFTY,FUTIDX
2025-06-13,2025-06-26,55555.6,55800.0,55350.6,55614.4,55655.8,55614.4,1187400,30,66044955504.0,1955910.0,8970.0,BANKNIFTY,FUTIDX
