DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,OPTION TYPE,STRIKE PRICE
2024-08-28,2024-08-29,1.3,1.9,0.45,0.55,0.55,0.55,32764575,25,786389265378.75,7505425.0,-545800.0,NIFTY,OPTIDX,PE,24000.0
2024-08-27,2024-08-29,2.8,3.35,1.65,1.95,1.85,1.95,20748775,25,498013447583.75,8051225.0,-1090125.0,NIFTY,OPTIDX,PE,24000.0
2024-08-26,2024-08-29,4.95,4.95,3.05,3.5,3.75,3.5,27294250,25,655157871782.5,9141350.0,941975.0,NIFTY,OPTIDX,PE,24000.0
2024-08-23,2024-08-29,6.5,8.6,4.05,6.95,7.0,6.95,16199500,25,388899222562.5,8199375.0,1040325.0,NIFTY,OPTIDX,PE,24000.0
2024-08-22,2024-08-29,10.0,10.65,7.0,8.1,8.1,8.1,11591625,25,278293620895.0,7159050.0,1055950.0,NIFTY,OPTIDX,PE,24000.0
2024-08-21,2024-08-29,16.2,23.4,11.0,13.0,11.7,13.0,6992975,25,167944976542.5,6103100.0,752625.0,NIFTY,OPTIDX,PE,24000.0
2024-08-20,2024-08-29,35.0,37.45,22.05,23.65,23.0,23.65,6701400,25,161006664703.75,5350475.0,-24575.0,NIFTY,OPTIDX,PE,24000.0
2024-08-19,2024-08-29,49.0,57.45,39.6,41.1,40.0,41.1,5742800,25,138090908941.25,5375050.0,359025.0,NIFTY,OPTIDX,PE,24000.0
2024-08-16,2024-08-29,135.25,154.9,56.7,60.2,57.25,60.2,10282325,25,247716798625.0,5016025.0,236925.0,NIFTY,OPTIDX,PE,24000.0
2024-08-14,2024-08-29,204.15,230.0,170.2,189.15,191.0,189.15,4748800,25,114903761518.75,4779100.0,465200.0,NIFTY,OPTIDX,PE,24000.0
2024-08-13,2024-08-29,164.65,247.0,148.35,226.95,229.5,226.95,4881650,25,118096721112.5,4313900.0,-277875.0,NIFTY,OPTIDX,PE,24000.0
2024-08-12,2024-08-29,170.0,205.65,121.95,162.1,164.65,162.1,5159000,25,124639386238.75,4591775.0,-272675.0,NIFTY,OPTIDX,PE,24000.0
2024-08-09,2024-08-29,199.0,245.0,148.85,159.7,159.0,159.7,5831625,25,140934458075.0,4864450.0,787075.0,NIFTY,OPTIDX,PE,24000.0
